,User Defined Identifier,Instrument Name,RIC,Trade Date,Trade Time,Expiration Date,Period,Term,Volatility Surface Term,Risk Free Interest Rate,Open Implied Volatility,Last Implied Volatility,High Implied Volatility,Close Implied Volatility,Strike Price,Option Premium,Premium,General Value6,General Value7,Precision,Previous Close Date,Previous Close Price,Last Update Time,Instrument Snap Time,Asset Type Description,Contributor Short Name,Exchange Description,Currency Code,Embargo Times,Maximum Embargo Delay,Real Time Permitted
16,,CME BO 150% c1,1BO150Nc1=R,05/11/2022,22:52,05/20/2022,JUN2,JUN2,150%,0.93,62.12,66.06,69.45,62.29,124.26,0.0,0.0,83.45,82.84,2DP,05/11/2022,62.29,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
17,,CME BO 50% c2,1BO50Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,50%,1.13,56.22,58.68,243.92,56.13,41.42,0.0,0.0,83.45,82.84,2DP,05/11/2022,56.13,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
18,,CME BO 60% c2,1BO60Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,60%,1.13,48.76,50.61,211.6,48.68,49.7,0.01,0.0,83.45,82.84,2DP,05/11/2022,48.68,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
19,,CME BO 70% c2,1BO70Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,70%,1.13,41.77,42.8,179.79,41.71,57.99,0.03,0.02,83.45,82.84,2DP,05/11/2022,41.71,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
20,,CME BO 75% c2,1BO75Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,75%,1.13,38.55,39.02,163.56,38.52,62.13,0.05,0.05,83.45,82.84,2DP,05/11/2022,38.52,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
21,,CME BO 80% c2,1BO80Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,80%,1.13,35.76,35.56,146.76,35.76,66.27,0.12,0.13,83.45,82.84,2DP,05/11/2022,35.76,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
22,,CME BO 85% c2,1BO85Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,85%,1.13,33.77,33.03,129.01,33.78,70.41,0.29,0.34,83.45,82.84,2DP,05/11/2022,33.78,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
23,,CME BO 90% c2,1BO90Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,90%,1.13,32.9,32.16,109.67,32.89,74.56,0.79,0.87,83.45,82.84,2DP,05/11/2022,32.89,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
24,,CME BO 95% c2,1BO95Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,95%,1.13,33.0,32.53,87.53,32.96,78.7,1.89,1.99,83.45,82.84,2DP,05/11/2022,32.96,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
25,,CME BO 100% c2,1BO100Nc2O=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,100%,1.13,33.66,33.39,62.55,33.61,82.84,3.78,3.88,83.45,82.84,2DP,05/11/2022,33.61,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
26,,CME BO 105% c2,1BO105Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,105%,1.13,34.56,34.4,63.22,34.52,86.98,2.26,2.33,83.45,82.84,2DP,05/11/2022,34.52,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
27,,CME BO 110% c2,1BO110Nc2=R,05/11/2022,22:52,06/24/2022,JUL2,JUL2,110%,1.13,35.54,35.43,63.88,35.53,91.12,1.3,1.36,83.45,82.84,2DP,05/11/2022,35.53,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
